role=AXApplication title=Desk Setup Switcher description= value= help= enabled= actions=
  role=AXWindow title=Desk Setup Switcher UI Audit description= value= help= enabled= actions=AXRaise
    role=AXGroup title= description= value= help= enabled= actions=
            role=AXMenuItem title=Finder에서 ‘과학_G6-G7-6월_2026-07-04_cQNMVz4SqC95GoTW2skQ.mp4’ 보기 description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title= description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=서버 description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Macintosh HD description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title= description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=메뉴 지우기 description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title= description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=강제 종료... description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=Desk Setup Switcher 강제 종료 description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title= description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=잠자기 description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=재시동… description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=재시동 description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=시스템 종료… description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=시스템 종료 description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title= description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=잠금 화면 description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=2LB Inc. 로그아웃… description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=2LB Inc. 로그아웃 description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title= description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
    role=AXMenuBarItem title=Desk Setup Switcher description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
      role=AXMenu title= description= value= help= enabled=1 actions=AXCancel
        role=AXMenuItem title=About Desk Setup Switcher description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title= description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=Settings… description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title= description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=Services description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
          role=AXMenu title= description= value= help= enabled=1 actions=AXCancel
            role=AXMenuItem title=Activity Monitor description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Allocations & Leaks description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=File Activity description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=System Trace description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Time Profile Active Application description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Time Profile App Under Mouse description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Time Profile Entire System description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Toggle Instruments Recording description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Services Settings… description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title= description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=Hide Desk Setup Switcher description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=Hide Others description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=Show All description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title= description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=Quit Desk Setup Switcher description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
    role=AXMenuBarItem title=Edit description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
      role=AXMenu title= description= value= help= enabled=1 actions=AXCancel
        role=AXMenuItem title=Undo description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=Redo description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title= description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=Cut description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=Copy description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=Paste description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=Delete description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=Select All description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title= description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=Writing Tools description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
          role=AXMenu title= description= value= help= enabled=1 actions=AXCancel
            role=AXMenuItem title=Show Writing Tools description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title= description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Proofread description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Rewrite description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title= description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
